PMID,year,journal,title,sentence_count,species_context,genes,themes
37786579,2023,PeerJ,"Ecological engineering in low land rice for brown plant hopper, Nilaparvata lugens (Stål) management.",6,BPH,,生长防御权衡与农艺环境
37629184,2023,International journal of molecular sciences,SET Domain Group 703 Regulates Planthopper Resistance by Suppressing the Expression of Defense-Related Genes.,5,BPH;SBPH;WBPH,,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署
37489868,2023,Pest management science,The brown planthopper NlDHRS11 is involved in the detoxification of rice secondary compounds.,5,BPH,,
37819387,2023,Plant cell reports,Integration of transcriptome and metabolome analyses reveals the role of OsSPL10 in rice defense against brown planthopper.,5,BPH,OsSPL10,次生代谢与挥发性防御
38203556,2023,International journal of molecular sciences,Effects of Secondary Metabolites of Rice on Brown Planthopper and Its Symbionts.,5,BPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控
37649829,2023,Molecular breeding : new strategies in plant improvement,Large scale rice germplasm screening for identification of novel brown planthopper resistance sources.,4,BPH,Bph44,遗传定位、克隆与抗源部署
37762665,2023,International journal of molecular sciences,"Defense Strategies of Rice in Response to the Attack of the Herbivorous Insect, Chilo suppressalis.",4,BPH,OsERF3;OsWRKY53;OsWRKY70;Bph14,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控
36462682,2023,Plant science : an international journal of experimental plant biology,The F-box protein OsEBF2 confers the resistance to the brown planthopper (Nilparvata lugens Stål).,4,BPH,OsEBF2;OsEIL1;OsEBF1,激素、氧化还原与信号调控
36679058,2023,"Plants (Basel, Switzerland)",Immune Responses and Transcriptomic Analysis of Nilaparvata lugens against Metarhizium anisopliae YTTR Mediated by Rice Ragged Stunt Virus.,4,BPH,,宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
37373210,2023,International journal of molecular sciences,Molecular Research in Rice.,4,BPH;WBPH,Bph45;OsCRN,遗传定位、克隆与抗源部署
37149887,2023,The New phytologist,A novel transcriptional repressor complex MYB22-TOPLESS-HDAC1 promotes rice resistance to brown planthopper by repressing F3'H expression.,4,BPH,,次生代谢与挥发性防御
36788431,2023,"Plant, cell & environment",Silencing a dehydration-responsive element-binding gene enhances the resistance of plants to a phloem-feeding herbivore.,3,BPH,OsDREB1A,激素、氧化还原与信号调控;韧皮部取食界面与结构防御
37735534,2023,Scientific reports,Landscape structure influences natural pest suppression in a rice agroecosystem.,3,BPH,,生长防御权衡与农艺环境
37379352,2023,Proceedings of the National Academy of Sciences of the United States of America,Plants target gut microbes to reduce insect herbivore damage.,3,BPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境
37233057,2023,Insects,Resistance Monitoring of Nilaparvata lugens to Pymetrozine Based on Reproductive Behavior.,3,BPH,,
37490037,2023,The Plant cell,Growth-defense tradeoff in rice: The role of gibberellic acid catabolism.,3,BPH,,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
37779725,2023,Frontiers in microbiology,Using Wolbachia to control rice planthopper populations: progress and challenges.,2,BPH;SBPH;WBPH,,病毒-媒介-水稻三方互作
38023923,2023,Frontiers in plant science,"Editorial: Leveraging genomics, phenomics, and plant biotechnology approaches for improving abiotic and biotic stress tolerance in cereals and legumes.",2,BPH,,
36899907,2023,Cells,Oxalic Acid Inhibits Feeding Behavior of the Brown Planthopper via Binding to Gustatory Receptor Gr23a.,2,BPH,,宿主免疫、肽信号与昆虫效应子;韧皮部取食界面与结构防御
37840984,2023,Breeding science,Near-isogenic lines for resistance to brown planthopper with the genetic background of Indica Group elite rice (Oryza sativa L.) variety 'IR64'.,2,BPH,Bph17;Bph20;Bph25;Bph26;Bph3;Bph32,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
37511097,2023,International journal of molecular sciences,Recent Advances in Plant-Insect Interactions.,2,BPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控
36637212,2023,Pest management science,Cloning of the promoter of rice brown planthopper feeding-inducible gene OsTPS31 and identification of related cis-regulatory elements.,2,BPH,OsTPS31;OsBPH14,遗传定位、克隆与抗源部署
36781491,2023,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Functional Bph14 from Rathu Heenati promotes resistance to BPH at the early seedling stage of rice (Oryza sativa L.) as revealed by QTL-seq.,2,BPH,Bph14,遗传定位、克隆与抗源部署
36768487,2023,International journal of molecular sciences,A Novel Cuticular Protein-like Cpr21L Is Essential for Nymph Survival and Male Fecundity in the Brown Planthopper.,2,BPH,,
37011098,2023,PLoS genetics,Knockdown of the salivary protein gene NlG14 caused displacement of the lateral oviduct secreted components and inhibited ovulation in Nilaparvata lugens.,2,BPH,NlG14,宿主免疫、肽信号与昆虫效应子
37790794,2023,Frontiers in plant science,Vesicle trafficking in rice: too little is known.,2,,Bph6;OsEXO70H3;OsEXO70E1,韧皮部取食界面与结构防御
37789388,2023,Molecular horticulture,Stress responses of plants through transcriptome plasticity by mRNA alternative polyadenylation.,1,SBPH,OsNPR1;OsRAR1;OsRLCK07;OsWRKY46,病毒-媒介-水稻三方互作
37353991,2023,Plant biotechnology journal,The microRNA-7322-5p/p38/Hsp19 axis modulates Chilo suppressalis cell-defences against Cry1Ca: an effective target for a stacked transgenic rice approach.,1,,,生长防御权衡与农艺环境
38078111,2023,Frontiers in plant science,Editorial: Disease and pest resistance in rice.,1,BPH;SBPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
37807039,2023,BMC plant biology,Screening of microRNAs and target genes involved in Sclerotinia sclerotiorum (Lib.) infection in Brassica napus L.,1,BPH,,
37686008,2023,International journal of molecular sciences,Functions of Plant Phytochrome Signaling Pathways in Adaptation to Diverse Stresses.,1,BPH,,
37446249,2023,International journal of molecular sciences,Establishment of a Rapid Detection Method for Yeast-like Symbionts in Brown Planthopper Based on Droplet Digital PCR Technology.,1,BPH,,韧皮部取食界面与结构防御
35306741,2023,Insect science,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper Nilaparvata lugens.,1,BPH,,
37653845,2023,"Plants (Basel, Switzerland)",A Metabolome Analysis and the Immunity of Phlomis purpurea against Phytophthora cinnamomi.,1,BPH,,宿主免疫、肽信号与昆虫效应子
36987076,2023,"Plants (Basel, Switzerland)","Pyramiding of Multiple Genes to Improve Rice Blast Resistance of Photo-Thermo Sensitive Male Sterile Line, without Yield Penalty in Hybrid Rice Production.",1,BPH,Bph14;Bph15,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
37752622,2023,Plant biotechnology journal,Broad-spectrum resistance gene RPW8.1 balances immunity and growth via feedback regulation of WRKYs.,1,BPH;WBPH,Bph3;OsLecRK1-OsLecRK3,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
36699839,2023,Frontiers in plant science,Editorial: Machine learning and artificial intelligence for smart agriculture.,1,BPH,,病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
38078098,2023,Frontiers in plant science,Deciphering the roles of unknown/uncharacterized genes in plant development and stress responses.,1,BPH,Bph42,遗传定位、克隆与抗源部署
36755501,2023,Plant physiology,Dissecting the genetic basis of heterosis in elite super-hybrid rice.,1,BPH,Bph15,
36995901,2023,The Plant journal : for cell and molecular biology,Transcriptomic and methylomic analyses provide insights into the molecular mechanism and prediction of heterosis in rice.,1,BPH,,
37176028,2023,International journal of molecular sciences,Light-Dependent Regulatory Interactions between the Redox System and miRNAs and Their Biochemical and Physiological Effects in Plants.,1,BPH,OsGRF8;OsGRF8-OsF3H,
37958711,2023,International journal of molecular sciences,Four-Chlorophenoxyacetic Acid Treatment Induces the Defense Resistance of Rice to White-Backed Planthopper Sogatella furcifera.,1,BPH;WBPH,,
37934932,2023,Journal of agricultural and food chemistry,Transcriptome of Excretory Organs Revealed Potential Targets for the Control of Nilaparvata lugens.,1,BPH,,宿主免疫、肽信号与昆虫效应子;韧皮部取食界面与结构防御
38133133,2023,Methods and protocols,A Versatile Protocol for Efficient Transformation and Regeneration in Mega Indica Rice Cultivar MTU1010: Optimization through Hormonal Variables.,1,BPH,,
37415905,2023,Frontiers in physiology,"Roles of GFAT and PFK genes in energy metabolism of brown planthopper, Nilaparvata lugens.",1,BPH,,
38737919,2023,Breeding science,Development of pyramided lines carrying brown planthopper resistance genes in the genetic background of Indica Group rice (Oryza sativa L.) variety 'IR64'.,1,BPH,,遗传定位、克隆与抗源部署
36835638,2023,International journal of molecular sciences,Transcriptomic Analysis Revealed Key Defense Genes and Signaling Pathways Mediated by the Arabidopsis thaliana Gene SAD2 in Response to Infection with Pseudomonas syringae pv. Tomato DC3000.,1,BPH,,次生代谢与挥发性防御
36528849,2023,Insect science,"FoxO is required for optimal fitness of the migratory brown planthopper, Nilaparvata lugens (Hemiptera: Delphacidae).",1,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境
37687282,2023,"Plants (Basel, Switzerland)",A Comprehensive Genome-Wide Investigation of the Cytochrome 71 (OsCYP71) Gene Family: Revealing the Impact of Promoter and Gene Variants (Ser33Leu) of OsCYP71P6 on Yield-Related Traits in Indica Rice (Oryza sativa L.).,1,BPH,OsCYP71;OsCYP71P6,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
37392473,2023,The Plant cell,Jasmonate-mediated gibberellin catabolism constrains growth during herbivore attack in rice.,1,BPH,,激素、氧化还原与信号调控
36675229,2023,International journal of molecular sciences,"Biology of Two-Spotted Spider Mite (Tetranychus urticae): Ultrastructure, Photosynthesis, Guanine Transcriptomics, Carotenoids and Chlorophylls Metabolism, and Decoyinine as a Potential Acaricide.",1,BPH;SBPH,,韧皮部取食界面与结构防御
36675944,2023,"Journal of fungi (Basel, Switzerland)","Sublethal Effects of Beauveria bassiana Strain BEdy1 on the Development and Reproduction of the White-Backed Planthopper, Sogatella furcifera (Horváth) (Hemiptera: Delphacidae).",1,WBPH,,生长防御权衡与农艺环境
37504637,2023,Insects,"Biochemical Defense Responses in Red Rice Genotypes Possessing Differential Resistance to Brown Planthopper, Nilaparvata lugens (Stål).",1,BPH,,
35456901,2022,International journal of molecular sciences,Transcriptome and Metabolome Profiling Reveal the Resistance Mechanisms of Rice against Brown Planthopper.,47,BPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
36187783,2022,Frontiers in physiology,Transcriptome and metabolome analyses reveal the responses of brown planthoppers to RH resistant rice cultivar.,39,BPH,Bph3;Bph32;Bph15;OsLecRK1;OsLecRK3;Bph17;Bph1;Bph14;Bph26;Bph29;Bph6;Bph9,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
35068048,2022,Plant biotechnology journal,Plant elicitor peptide signalling confers rice resistance to piercing-sucking insect herbivores and pathogens.,36,BPH,OsPep3;OsPEPRs;OsPep3-induced;OsPep3-elicited;OsPep3-treated;OsPROPEPs;OsPEPR1;OsPEPR2;OsMAPKK10.2;OsMYB30;OsPAL4;OsRBBI3-3;OsTHT1;OsPep;OsPROPEP5;OsPep7;OsPeps.We;Bph30;Bph40;Bph6,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
35741403,2022,Biology,Elevated CO(2) Altered Rice VOCs Aggravate Population Occurrence of Brown Planthoppers by Improving Host Selection Ability.,33,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
36064309,2022,BMC genomics,"Transcriptome profiling in rice reveals a positive role for OsNCED3 in defense against the brown planthopper, Nilaparvata lugens.",33,BPH,OsNCED3;Osbph6;Oscht4;Oscht5;OsAOS1;Os02g52780;Os04g35210;OsbZIP23;Oscht1;OsJAZ1;OsTDC1,次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
35498688,2022,Frontiers in plant science,Bulked Segregant RNA Sequencing Revealed Difference Between Virulent and Avirulent Brown Planthoppers.,28,BPH,Bph15;Bph6;Bph1;Bph9;Bph2,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
36353600,2022,PeerJ,Evaluation and characterization of indigenous rice (Oryza sativa L.) landraces resistant to brown planthopper Nilaparvata lugens (Stål.) biotype 4.,27,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
35055928,2022,Insects,Detection of Yeast-like Symbionts in Brown Planthopper Reared on Different Resistant Rice Varieties Combining DGGE and Absolute Quantitative Real-Time PCR.,26,BPH,Bph1;Bph2;Bph3,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作
35682620,2022,International journal of molecular sciences,Cytokinin Confers Brown Planthopper Resistance by Elevating Jasmonic Acid Pathway in Rice.,25,BPH,OsCKXs;OsCOI1;Bph14;Bph29;Bph6;Bph9;OsCKX1,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
35899197,2022,Frontiers in genetics,Development and Validation of Diagnostic KASP Markers for Brown Planthopper Resistance in Rice.,22,BPH,Bph9;Bph17;Bph32;Bph20;Bph22;Bph3;Bph31;Bph33,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35447797,2022,Insects,Physiological and Population Responses of Nilaparvata lugens after Feeding on Drought-Stressed Rice.,21,BPH,,
35621763,2022,Insects,Mechanisms of Trichomes and Terpene Compounds in Indigenous and Commercial Thai Rice Varieties against Brown Planthopper.,20,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35217680,2022,Scientific reports,Salivary protein 7 of the brown planthopper functions as an effector for mediating tricin metabolism in rice plants.,19,BPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;韧皮部取食界面与结构防御
35206680,2022,Insects,Compatibility of Insecticides with Rice Resistance to Planthoppers as Influenced by the Timing and Frequency of Applications.,17,BPH;WBPH,Bph2;Bph1;Bph18;Bph25;Bph26;Bph5;Bph7,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35876337,2022,Plant signaling & behavior,Damage of brown planthopper (BPH) Nilaparvata lugens and rice leaf folder (LF) Cnaphalocrocis medinalis in parent plants lead to distinct resistance in ratoon rice.,17,BPH,OsAOS;OsCOI1;OsPAL1;OsAOS-deficient;OsCOI1-deficient;OsHI-LOX;OsBBPI;OsNPR1;Osg1,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
35682997,2022,International journal of molecular sciences,Transcriptome Analysis Reveals Crosstalk between the Abscisic Acid and Jasmonic Acid Signaling Pathways in Rice-Mediated Defense against Nilaparvata lugens.,16,BPH,OsJAZ11,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
36004924,2022,"Bioengineering (Basel, Switzerland)","The Homeodomain-Leucine Zipper Genes Family Regulates the Jinggangmycin Mediated Immune Response of Oryza sativa to Nilaparvata lugens, and Laodelphax striatellus.",15,BPH;SBPH,OsHDZIP;OsHDZIP10;OsHDZIP40;OsHDZIP03;OsHDZIP04;OsHDZIP15;OsHDZIP28;OsHDZIP37;OsHDZP28;OsHDZP3;OsHDZP9;OsHDZIP20;OsHDZIP3;OsHDZIP4,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作
36323756,2022,Scientific reports,"Identification of two QTLs, BPH41 and BPH42, and their respective gene candidates for brown planthopper resistance in rice.",15,BPH,Bph41;Bph42;Bph1;Bph2,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35119102,2022,The New phytologist,Necessity of rice resistance to planthoppers for OsEXO70H3 regulating SAMSL excretion and lignin deposition in cell walls.,14,BPH,OsEXO70H3;Bph6;OsExo70H3;OsEXO70H3-RFP;OsEXO70H3-HA,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
35604579,2022,Botanical studies,Effect of nitrogen fertilizer on the resistance of rice near-isogenic lines with BPH resistance genes.,13,BPH,Bph17;Bph9,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35290527,2022,"Rice (New York, N.Y.)","Creation of Elite Rice with High-Yield, Superior-Quality and High Resistance to Brown Planthopper Based on Molecular Design.",13,BPH,Bph6;Bph9,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35910769,2022,PeerJ,Genome-wide identification of long non-coding (lncRNA) in Nilaparvata lugens's adaptability to resistant rice.,13,BPH,Bph1;Bph10;Bph17;Bph18;Bph19;Bph20;Bph25;Bph27;Bph28;Bph29;Bph30;Bph34;Bph37;Bph39,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35754716,2022,iScience,Shifts in Pseudomonas species diversity influence adaptation of brown planthopper to changing climates and geographical locations.,12,BPH,,生长防御权衡与农艺环境
35678495,2022,Plant biotechnology journal,An amino acid transporter-like protein (OsATL15) facilitates the systematic distribution of thiamethoxam in rice for controlling the brown planthopper.,12,BPH,OsATL15;OsATL;OsATL15-overexpressing;OsATL15-1,病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
35163461,2022,International journal of molecular sciences,"Bio-Efficacy of Chrysoeriol7, a Natural Chemical and Repellent, against Brown Planthopper in Rice.",10,BPH;WBPH,OsNPR1,次生代谢与挥发性防御
35886780,2022,Insects,"Combined Effects of Soil Silicon and Host Plant Resistance on Planthoppers, Blast and Bacterial Blight in Tropical Rice.",10,BPH;WBPH,Bph24;Bph2,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
35323596,2022,Insects,Heat Shock 70 kDa Protein Cognate 3 of Brown Planthopper Is Required for Survival and Suppresses Immune Response in Plants.,10,BPH,OsHSP70;OsHSP71.1,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
38468808,2022,Frontiers in insect science,Polymorphisms in the hypervariable control region of the mitochondrial DNA differentiate BPH populations.,9,BPH;SBPH;WBPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
36221916,2022,The plant pathology journal,Versatile Roles of Microbes and Small RNAs in Rice and Planthopper Interactions.,7,BPH,OsmiR396;OsmiR396-sequestered,次生代谢与挥发性防御;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
35295635,2022,Frontiers in plant science,Planthopper-Secreted Salivary Calmodulin Acts as an Effector for Defense Responses in Rice.,7,BPH;SBPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
35055947,2022,Insects,Decoyinine Induced Resistance in Rice against Small Brown Planthopper Laodelphax striatellus.,6,BPH;SBPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
35058803,2022,Frontiers in physiology,Effects of Different Nutritional Conditions on the Growth and Reproduction of Nilaparvata lugens (Stål).,6,BPH,,生长防御权衡与农艺环境
36499611,2022,International journal of molecular sciences,The Phosphoserine Phosphatase Alters the Free Amino Acid Compositions and Fecundity in Cyrtorhinus lividipennis Reuter.,5,BPH,,生长防御权衡与农艺环境
35955860,2022,International journal of molecular sciences,Heritable Epigenomic Modifications Influence Stress Resilience and Rapid Adaptations in the Brown Planthopper (Nilaparvata lugens).,5,BPH,,生长防御权衡与农艺环境
35270092,2022,"Plants (Basel, Switzerland)","Multiparent-Derived, Marker-Assisted Introgression Lines of the Elite Indian Rice Cultivar, 'Krishna Hamsa' Show Resistance against Bacterial Blight and Blast and Tolerance to Drought.",5,BPH,Bph20;Bph21;Bph18;Bph3,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35267056,2022,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,"Molecular mechanisms, genetic mapping, and genome editing for insect pest resistance in field crops.",4,BPH,Bph7;Bph28,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35719377,2022,Frontiers in genetics,Biotechnological Approaches for Host Plant Resistance to Insect Pests.,4,BPH;WBPH,Bph2;Bph27;Bph3;Bph1;ASAL;GNA,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35323548,2022,Insects,Interactions between Rice Resistance to Planthoppers and Honeydew-Related Egg Parasitism under Varying Levels of Nitrogenous Fertilizer.,4,BPH;WBPH,Bph1;Bph18;Bph2;Bph25;Bph26;Bph5;Bph7,次生代谢与挥发性防御;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
35735865,2022,Insects,"Topical Fungal Infection Induces Shifts in the Gut Microbiota Structure of Brown Planthopper, Nilaparvata lugens (Homoptera: Delphacidae).",4,BPH,,生长防御权衡与农艺环境
36466326,2022,Frontiers in bioengineering and biotechnology,Delta and jagged are candidate target genes of RNAi biopesticides for the control of Nilaparvata lugens.,4,BPH,,
36605958,2022,Frontiers in plant science,"Editorial: Identification and characterization of contrasting genotypes/cultivars to discover novel players in crop responses to abiotic/biotic stresses, volume II.",3,BPH,Bph15,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
36611621,2022,Animals : an open access journal from MDPI,"Evaluation of the Parasitism Capacity of a Thelytoky Egg Parasitoid on a Serious Rice Pest, Nilaparvata lugens (Stål).",3,BPH,,生长防御权衡与农艺环境
35343596,2022,"Plant, cell & environment",Identification of the rice genes and metabolites involved in dual resistance against brown planthopper and rice blast fungus.,3,BPH,OsF3;OsF3H,次生代谢与挥发性防御
36527431,2022,Journal of experimental botany,The International Oryza Map Alignment Project (IOMAP): the Americas-past achievements and future directions.,3,BPH,,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作
35576158,2022,Plant communications,Genomic insights on the contribution of introgressions from Xian/Indica to the genetic improvement of Geng/Japonica rice cultivars.,3,BPH,Bph3;OsPIN3t;Bph29,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35764746,2022,Molecular biology reports,Molecular mapping and transfer of a novel brown planthopper resistance gene bph42 from Oryza rufipogon (Griff.) To cultivated rice (Oryza sativa L.).,3,BPH,Bph42,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35845607,2022,Frontiers in molecular neuroscience,Function of Transient Receptor Potential-Like Channel in Insect Egg Laying.,2,BPH,,宿主免疫、肽信号与昆虫效应子
34908164,2022,Journal of cellular physiology,Isolation and functional analysis of OsAOS1 promoter for resistance to Nilaparvata lugens Stål infestation in rice.,2,BPH,OsAOS1;GNA,
35863076,2022,Genome,Identification of novel candidate of brown planthopper resistance gene Bph44 in rice (Oryza sativa L.).,2,BPH,Bph44,遗传定位、克隆与抗源部署
35054952,2022,International journal of molecular sciences,"Repellency Mechanism of Natural Guar Gum-Based Film Incorporated with Citral against Brown Planthopper, Nilaparvata lugens (Stål) (Hemiptera: Delphacidae).",2,BPH,,次生代谢与挥发性防御
35937375,2022,Frontiers in plant science,Vibrational courtship disruption of Nilaparvata lugens using artificial disruptive signals.,2,BPH,,
35462224,2022,Journal of plant physiology,Molecular identification and efficacy assessment of a glufosinate-tolerant and brown planthopper-resistant transgenic rice line.,2,BPH,Bph9,遗传定位、克隆与抗源部署
35226488,2022,Journal of agricultural and food chemistry,Rice Defense against Brown Planthopper Partially by Suppressing the Expression of Transferrin Family Genes of Brown Planthopper.,2,BPH,,
35458398,2022,Viruses,Genomics in Plant Viral Research.,2,BPH,Bph3,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
35956485,2022,"Plants (Basel, Switzerland)",Research Progress and Prospect of Alfalfa Resistance to Pathogens and Pests.,1,,Bph14;Bph9,宿主免疫、肽信号与昆虫效应子
35100268,2022,PloS one,Marker assisted pedigree breeding based improvement of the Indian mega variety of rice MTU1010 for resistance against bacterial blight and blast and tolerance to low soil phosphorus.,1,BPH,,
34498803,2022,Insect science,Chitin synthase 1 and five cuticle protein genes are involved in serosal cuticle formation during early embryogenesis to enhance eggshells in Nilaparvata lugens.,1,BPH,,
35567151,2022,"Plants (Basel, Switzerland)",SNP Based Trait Characterization Detects Genetically Important and Stable Multiple Stress Tolerance Rice Genotypes in Salt-Stress Environments.,1,,Bph32;Bph9,生长防御权衡与农艺环境
35937318,2022,Frontiers in plant science,GhCalS5 is involved in cotton response to aphid attack through mediating callose formation.,1,BPH,,韧皮部取食界面与结构防御
35845644,2022,Frontiers in plant science,Interspecific Hybridization Is an Important Driving Force for Origin and Diversification of Asian Cultivated Rice Oryza sativa L.,1,BPH,Bph27;Bph34;Bph35;Bph36,
35956515,2022,"Plants (Basel, Switzerland)",Management and Utilization of Plant Genetic Resources for a Sustainable Agriculture.,1,BPH,Bph1,遗传定位、克隆与抗源部署
36499636,2022,International journal of molecular sciences,Enhancing the Expression of the OsF3H Gene in Oryza sativa Leads to the Regulation of Multiple Biosynthetic Pathways and Transcriptomic Changes That Influence Insect Resistance.,1,BPH,OsF3H;OsMPK20-5,激素、氧化还原与信号调控
36212323,2022,Frontiers in plant science,Hrip1 mediates rice cell wall fortification and phytoalexins elicitation to confer immunity against Magnaporthe oryzae.,1,BPH,OsPAL,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
35406634,2022,Cells,The Promising Therapeutic and Preventive Properties of Anthocyanidins/Anthocyanins on Prostate Cancer.,1,BPH,,
35386681,2022,Frontiers in plant science,OsAPX1 Positively Contributes to Rice Blast Resistance.,1,BPH,OsAPX1;OsAPX2,
35401612,2022,Frontiers in plant science,A Genetic Resource for Rice Improvement: Introgression Library of Agronomic Traits for All AA Genome Oryza Species.,1,BPH,Bph9,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35327963,2022,Genes,Genome-Wide Identification and Expression Profiles of 13 Key Structural Gene Families Involved in the Biosynthesis of Rice Flavonoid Scaffolds.,1,BPH,Os03g0122300;OsF3H1,次生代谢与挥发性防御
35218297,2022,Plant biotechnology journal,Plant Public RNA-seq Database: a comprehensive online database for expression analysis of ~45 000 plant public RNA-Seq libraries.,1,BPH,OsLecRK3,病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
35409303,2022,International journal of molecular sciences,"Jasmonate Signaling Pathway Modulates Plant Defense, Growth, and Their Trade-Offs.",1,BPH,,激素、氧化还原与信号调控;生长防御权衡与农艺环境
35715045,2022,Pesticide biochemistry and physiology,"Knockdown of the chromatin remodeling ATPase gene Brahma impairs the reproductive potential of the brown planthopper, Nilaparvata lugens.",1,BPH,,
36555040,2022,Insects,Analysis of the Feeding Behavior and Life Table of Nilaparvata lugens and Sogatella furcifera (Hemiptera: Delphacidae) under Sublethal Concentrations of Imidacloprid and Sulfoxaflor.,1,BPH;WBPH,,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
35806046,2022,International journal of molecular sciences,"Plant Responses to Herbivory, Wounding, and Infection.",1,BPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控
36100693,2022,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Golden 2-like transcription factor contributes to the major QTL against rice black-streaked dwarf virus disease.,1,BPH;SBPH,,病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
